title,authors,year,source,paper,citations no.
A history of Indian philosophy,S Dasgupta,1975,https://books.google.com/books?hl=en&lr=lang_en&id=iF7FaVeDMRYC&oi=fnd&pg=PA1&dq=history&ots=oxw6QO1boZ&sig=HAsfokvLuuWr8ZxQT3RrvtA5IzA,http://ir.lucknowdigitallibrary.com:8080/xmlui/bitstream/handle/123456789/9863/15160.pdf?sequence=1&isAllowed=y,1899
Crime and punishment in American history,LM Friedman,1994,,,1895
Pacific salmon life histories,G Groot,1991,https://books.google.com/books?hl=en&lr=lang_en&id=I_S0xCME0CYC&oi=fnd&pg=PR7&dq=history&ots=_yzBuN0lj5&sig=dviWmXoTDnof8BSm-CzRMG5gDxg,"http://jeffersonco-treis.info/PDF%20Files/3.04%20Water%20References/Healey,%20M.C.%201991%20Life%20History%20of%20Chinook%20Salmon.pdf",1894
Atlas of world population history,"C McEvedy, R Jones",1978,,,1892
The invention of autonomy: A history of modern moral philosophy,JB Schneewind,1998,https://books.google.com/books?hl=en&lr=lang_en&id=VfadsTs-1bUC&oi=fnd&pg=PR13&dq=history&ots=4ZqewHJkvN&sig=NtTJ28oQJqZ7lJZ_PurttyqG5o0,,1890
This fissured land: an ecological history of India,"M Gadgil, R Guha",1993,https://books.google.com/books?hl=en&lr=lang_en&id=Jmr9n7aoRR4C&oi=fnd&pg=PR13&dq=history&ots=erZ8JYPxZD&sig=QsiGkPt6yY81Xrx7zX9pF2Z3Tr4,,1881
The ecological Indian: Myth and history,S Krech,1999,,https://ww.w.humanecologyreview.org/pastissues/her81/81bookreviews.pdf,1877
"Separate spheres, female worlds, woman's place: The rhetoric of women's history",LK Kerber,1988,https://www.jstor.org/stable/1889653,http://feliciadz.pbworks.com/f/1889653.pdf,1873
A green history of the world,C Ponting,1991,https://pdfs.semanticscholar.org/9909/67af5a57549972d56668c1f9d33deb15a245.pdf,https://pdfs.semanticscholar.org/9909/67af5a57549972d56668c1f9d33deb15a245.pdf,1868
Maus: A survivor's tale,A Spiegelman,1993,,http://www.northlandprep.org/wp-content/uploads/2013/04/Eng-8-Rationales.pdf,1849
Why have there been no great women artists?,L Nochlin,1971,https://philpapers.org/rec/ARTLN,https://writing.upenn.edu/library/Nochlin-Linda_Why-Have-There-Been-No-Great-Women-Artists.pdf,1848
The social and economic history of the Roman Empire,MI Rostovtzeff,1926,https://books.google.com/books?hl=en&lr=lang_en&id=6dgC37IqYW0C&oi=fnd&pg=PR7&dq=history&ots=E8-bhmNqHF&sig=6aZUYV8r8gS4O8ZG2SqfIydODwE,,1847
South Africa: A modern history,"T Davenport, C Saunders",2000,https://books.google.com/books?hl=en&lr=lang_en&id=UgaMDAAAQBAJ&oi=fnd&pg=PP1&dq=history&ots=gwQ6dgSlxm&sig=7x3Q2XoObClP_uWvA3XmzD_fUq4,,1831
The star formation history of field galaxies,"P Madau, L Pozzetti, M Dickinson",1998,https://iopscience.iop.org/article/10.1086/305523/meta,https://iopscience.iop.org/article/10.1086/305523/pdf,1821
"Bilingual education: History, politics, theory, and practice",J Crawford,1989,,,1817
History of the Theory of Numbers...,LE Dickson,1919,,,1813
Efficacy of bilateral prophylactic mastectomy in women with a family history of breast cancer,"LC Hartmann, DJ Schaid, JE Woods…",1999,https://www.nejm.org/doi/full/10.1056/NEJM199901143400201,https://www.nejm.org/doi/full/10.1056/NEJM199901143400201,1786
Food as a limit on breeding birds: a life-history perspective,TE Martin,1987,https://www.annualreviews.org/doi/pdf/10.1146/annurev.es.18.110187.002321,https://www.umt.edu/mcwru/documents/Martin_Publications/Martin%201987%20Ann%20Rev%20Ecol%20Syst%20Food%20Limitation.pdf,1784
Computer-supported cooperative work: History and focus,J Grudin,1994,https://ieeexplore.ieee.org/abstract/document/291294/,https://www.microsoft.com/en-us/research/wp-content/uploads/2017/01/IEEEComputer1994.pdf,1755
History and memory,J Le Goff,1992,,,1749
Cognitive foundations of natural history: Towards an anthropology of science,S Atran,1993,https://books.google.com/books?hl=en&lr=lang_en&id=ITW9tzQMQr4C&oi=fnd&pg=PR9&dq=history&ots=dTJKCG1oEe&sig=-Srqna_nD1iBZKJnQ-6tWPVy0ig,,1736
An economic history of the USSR,"A Nove, A Nove",1969,https://books.google.com/books?hl=en&lr=lang_en&id=vyX6PH0NYScC&oi=fnd&pg=PA11&dq=history&ots=JS2xA4u5jA&sig=nRb2uVY7xMt5M9XJi6vZGwgmRcA,,1724
The Canada-France Redshift Survey: the luminosity density and star formation history of the Universe to z~ 1,"SJ Lilly, O Le Fevre, F Hammer…",1996,https://iopscience.iop.org/article/10.1086/309975/meta,https://iopscience.iop.org/article/10.1086/309975/pdf,1722
The history of photography,B Newhall,1982,http://www.photographydealers.com/wp-content/uploads/Newsletters/History-of-Photograph-A-Message-from-Santa-Fe-April-17-2020.pdf,,1698
Modern latin america,"TE Skidmore, PH Smith, JN Green",1992,,,1681
History of the Rochester epidemiology project,LJ Melton III,1996,https://www.sciencedirect.com/science/article/pii/S0025619611639669,,1486
"Workers' control in America: studies in the history of work, technology, and labor struggles",D Montgomery,1979,https://books.google.com/books?hl=en&lr=lang_en&id=Pmok64EaaWwC&oi=fnd&pg=PP13&dq=history&ots=t4QHj4Gmrc&sig=y_iup6YbxqqsjMwkae5bUSCjE4k,,1423
Making men: sophists and self-presentation in ancient Rome,"MW Gleason, AJ Papalas",1995,https://www.tandfonline.com/doi/pdf/10.1080/03612759.1995.9949217,https://www.degruyter.com/document/doi/10.1515/9780691187570/pdf,1390
Only yesterday: An informal history of the 1920's,FL Allen,1997,https://books.google.com/books?hl=en&lr=lang_en&id=mVKx2S6SM84C&oi=fnd&pg=PP13&dq=history&ots=r4CSYcyKhu&sig=6yi_bkgaUJWy1JuP4iXUTtjdOL4,,1350
"Natural history of periodontal disease in man: rapid, moderate and no loss of attachment in Sri Lankan laborers 14 to 46 years of age","H Löe, A Anerud, H Boysen…",1986,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-051X.1986.tb01487.x,,1281
The sanitary city: Urban infrastructure in America from colonial times to the present,"MV Melosi, JG Hanley",2000,https://search.proquest.com/openview/6418d316ba6b2aa1e0f1e594247c7164/1?pq-origsite=gscholar&cbl=26152,,1184
Manifest destiny and mission in American history: A reinterpretation,"F Merk, LB Merk",1995,https://books.google.com/books?hl=en&lr=lang_en&id=GhYJTaZiuxwC&oi=fnd&pg=PA1&dq=history&ots=LQLwVsjDyd&sig=CeJI36-yFZgadgE6c7S8dhyjkV8,,1021
Science in the federal government: A history of policies and activities,AH Dupree,1986,https://press.jhu.edu/books/title/2313/science-federal-government,,1008
History and truth,"P Ricoeur, P Rico",1965,https://books.google.com/books?hl=en&lr=lang_en&id=6vU6gvDqZLoC&oi=fnd&pg=PA3&dq=history&ots=IgsTY2Xs3z&sig=NOJCKZONobqIP-KvAlfxJ6uXJ9g,,1004
Blacks in Canada: A history,RW Winks,1997,https://books.google.com/books?hl=en&lr=lang_en&id=HwOdKjfF_HgC&oi=fnd&pg=PP9&dq=history&ots=ryxQWbUhkS&sig=FtIg6gLR0104CGIX0Yz8ek_7WAk,,970
"History of optical trapping and manipulation of small-neutral particle, atoms, and molecules",A Ashkin,2000,https://ieeexplore.ieee.org/abstract/document/902132/,,957
The Dietary History as a Tool in Research1,BS Burke,1947,https://www.sciencedirect.com/science/article/pii/S0002822321439490/pdf?md5=8f995a6ea048fb74ae2f015892ff7a20&pid=1-s2.0-S0002822321439490-main.pdf,,907
A History of Architecture on the Comparative Method...,B Fletcher,1901,,,875
History of the inductive sciences: from the earliest to the present times,W Whewell,1859,https://books.google.com/books?hl=en&lr=lang_en&id=hLsIAAAAIAAJ&oi=fnd&pg=PA41&dq=history&ots=h3SmHplQlW&sig=i4LWzdEFY1IRHUL5sjvbSogsXpk,https://books.google.com/books?hl=en&lr=lang_en&id=hLsIAAAAIAAJ&oi=fnd&pg=PA41&dq=history&ots=h3SmHplQlW&sig=i4LWzdEFY1IRHUL5sjvbSogsXpk,873
A history of Muslim historiography,F Rosenthal,1908,https://books.google.com/books?hl=en&lr=lang_en&id=kssUAAAAIAAJ&oi=fnd&pg=PR5&dq=history&ots=1iBt7LrUjY&sig=RImJRbYUoIVm-mJnGsVwQOM6few,,861
Revolution in miniature: The history and impact of semiconductor electronics,"A Braun, E Braun, S MacDonald",1982,https://books.google.com/books?hl=en&lr=lang_en&id=03c4wldf-k4C&oi=fnd&pg=PP9&dq=history&ots=ZZbDsLPGFK&sig=rIvycXEX575sdR97k4ile2prHBk,,848
"Effect of temperature and size on development, mortality, and survival rates of the pelagic early life history stages of marine fish",P Pepin,1991,https://cdnsciencepub.com/doi/abs/10.1139/f91-065,https://www.researchgate.net/profile/Pierre-Pepin/publication/229612137_Effect_of_Temperature_and_Size_on_Development_Mortality_and_Survival_Rates_of_the_Pelagic_Early_Life_History_Stages_of_Marine_Fish/links/0046353a08a9c22e0e000000/Effect-of-Temperature-and-Size-on-Development-Mortality-and-Survival-Rates-of-the-Pelagic-Early-Life-History-Stages-of-Marine-Fish.pdf,841
History of labour in the United States,"JR Commons, JB Andrews, S Perlman",1918,https://books.google.com/books?hl=en&lr=lang_en&id=fnJmUx5an1QC&oi=fnd&pg=PR1&dq=history&ots=5_MBySYkeQ&sig=ajn_1tPG1Y5Vb6V1tEUO3kLXeDA,,818
A history of Russian thought: From the Enlightenment to Marxism,A Walicki,1979,https://books.google.com/books?hl=en&lr=lang_en&id=Ev4ad5wKI9oC&oi=fnd&pg=PA1&dq=history&ots=5hjC9JKWdz&sig=x-gns9LEPtGh8suEwFtNfE3kKtE,,801
"A History of Modern Tibet, 1913-1951: The demise of the lamaist state","MC Goldstein, G Rimpoche",1989,https://books.google.com/books?hl=en&lr=lang_en&id=k3BijVR0dVcC&oi=fnd&pg=PR11&dq=history&ots=6ZJnMypm3d&sig=RYOa15kwEjwkXEn4_RcAIgbtF8c,,757
The hero in history: A study in limitation and possibility,S Hook,1943,https://books.google.com/books?hl=en&lr=lang_en&id=odMYbk1NPtcC&oi=fnd&pg=PR9&dq=history&ots=ppvw-3UV-r&sig=m-yY3svHxdV6zVSaEptrWQ7ghMI,,751
History and historians in the nineteenth century,GP Gooch,1920,,,685
"Subjectivities: a History of Self-representation in Britain, 1832-1920","R Gagnier, W Lee",1991,,,663
A History of Greece to the Death of Alexander the Great,JB Bury,1900,,https://www.cristoraul.org/ENGLISH/readinghall/THIRDMILLENNIUMLIBRARY/BOOKS/JBBURY-HISTORY-OF-GREECE.pdf,654
The Cambridge world history of human disease,FK Kenneth,1993,https://core.ac.uk/download/pdf/36044380.pdf,https://core.ac.uk/download/pdf/36044380.pdf,617
History of Indian and Eastern architecture,J Fergusson,1899,,https://ir.nbu.ac.in/bitstream/123456789/2240/1/25899.pdf,597
Dio's Roman history,"D Cassius, CD Cocceianus",1916,,,595
Late Proterozoic-early Paleozoic of South America-a collisional history,VA Ramos,1988,https://www.episodes.org/journal/view.html?doi=10.18814/epiiugs/1988/v11i3/003,https://www.episodes.org/journal/download_pdf.php?doi=10.18814/epiiugs/1988/v11i3/003,566
"Fire history on a desert mountain range: Rincon Mountain Wilderness, Arizona, USA","CH Baisan, TW Swetnam",1990,https://cdnsciencepub.com/doi/abs/10.1139/x90-208,https://www.academia.edu/download/44094291/0fcfd500724242d824000000.pdf,530
A history of Hausa Islamic verse,M Hiskett,1975,http://sites.la.utexas.edu/mhc/files/2009/10/hiskett_hausa.pdf,http://sites.la.utexas.edu/mhc/files/2009/10/hiskett_hausa.pdf,146
A History of Greece; vol 9,G Grote,1906,https://ir.nbu.ac.in/bitstream/123456789/2348/1/24010.pdf,https://ir.nbu.ac.in/bitstream/123456789/2348/1/24010.pdf,145
Sir Banister Fletcher's a history of architecture,"B Fletcher, J Musgrove",1975,,,145
History and Africa/Africa and history,JC Miller,1999,https://academic.oup.com/ahr/article-abstract/104/1/1/9158,https://aaas.ecu.edu/sersas/wp-content/pv-uploads/sites/393/2021/05/American-Historical-Association-Presidential-Address-SERSAS-1998.pdf,144
"The rhetorics of the past: History, argument, and collective memory",BE Gronbeck,1998,https://clas.uiowa.edu/commstudies/sites/clas.uiowa.edu.commstudies/files/THE%20RHETORICS%20OF%20THE%20PAST.pdf,https://clas.uiowa.edu/commstudies/sites/clas.uiowa.edu.commstudies/files/THE%20RHETORICS%20OF%20THE%20PAST.pdf,144
A short history of transfusion medicine,TJ Greenwalt,1997,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1537-2995.1997.37597293889.x,,144
Cuba: a short history,L Bethell,1993,https://books.google.com/books?hl=en&lr=lang_en&id=ADjFLkpt9I4C&oi=fnd&pg=PP11&dq=history&ots=ZYQY6n7sbo&sig=7bB-AIP8tz97V4CnxwEO-UGRQDk,,143
The media history of Tanzania,M Sturmer,1998,https://tanzania.mom-rsf.org/uploads/tx_lfrogmom/documents/12-1508_import.pdf,https://tanzania.mom-rsf.org/uploads/tx_lfrogmom/documents/12-1508_import.pdf,143
"History, Europe and the “national idea”: The “official” narrative of national identity in Ukraine",K Wolczuk,2000,https://www.cambridge.org/core/journals/nationalities-papers/article/history-europe-and-the-national-idea-the-official-narrative-of-national-identity-in-ukraine/ED58C830D408702729A5B119D8C1A6F5,,143
"New historical literary study: Essays on reproducing texts, representing history","JN Cox, LJ Reynolds, LJ Reynolds",1993,https://books.google.com/books?hl=en&lr=lang_en&id=hkuDii4XxJsC&oi=fnd&pg=PR7&dq=history&ots=Nx6tKJegPe&sig=vFAq0CDbjeQmTcuwOET15IVmnMk,,143
The naming of the beasts: Natural history in the medieval bestiary,"W George, B Yapp",1991,,,143
Batman the complete history: The life and times of the Dark Knight,L Daniels,1999,,,143
The Reintegration of American History: Slavery and the Civil War,"W Freehling, WW Freehling, W William",1994,https://books.google.com/books?hl=en&lr=lang_en&id=MOainyyGxhsC&oi=fnd&pg=PA3&dq=history&ots=AW3_CiNsRc&sig=J3SjilyfgpRjKmNHjFr5vN4WIlA,,143
"The life history of the pine wood nematode, Bursaphelenchus lignicolus",Y Mamiya,1975,https://www.jstage.jst.go.jp/article/jjn1972/5/0/5_0_16/_article/-char/ja/,https://www.jstage.jst.go.jp/article/jjn1972/5/0/5_0_16/_pdf,143
Foraging strategies and predation risk shape the natural history of juvenile Octopus vulgaris,"JA Mather, RK O'Dor",1991,https://www.ingentaconnect.com/content/umrsmas/bullmar/1991/00000049/f0020001/art00022,,143
A cultural history of Assam,BK Barua,1969,,,143
Natural history of fishes and systematics of freshwater fishes of India,"JS Datta Munshi, MP Srivastava",1988,https://agris.fao.org/agris-search/search.do?recordID=XF2015030188,,143
"The Agora of Athens: The history, shape, and uses of an ancient city center","HA Thompson, RE Wycherley",1972,,,143
Gardens of paradise: The history and design of the great Islamic gardens,J Brookes,1987,https://ixtheo.de/Record/017513863,,143
Cunard and the North Atlantic 1840–1973: a history of shipping and financial management,FE Hyde,1975,https://books.google.com/books?hl=en&lr=lang_en&id=i7yvCwAAQBAJ&oi=fnd&pg=PR12&dq=history&ots=Vp8drL0Iwt&sig=0DDgE616r2jKx8YQzzWYrhTyqlQ,,142
Early Swahili history reconsidered,T Spear,2000,https://www.jstor.org/stable/220649,https://alteritas.net/alteritas/wp-content/uploads/2021/10/Early-Swahili-History-Reconsidered.pdf,142
A History of the Rise and Progress of the Baptists in Virginia,RB Semple,1810,https://books.google.com/books?hl=en&lr=lang_en&id=izg3AAAAMAAJ&oi=fnd&pg=PA1&dq=history&ots=qRD9T-77Wb&sig=MBe_DOCoAv8H2i3TLXzcHcjf7Y8,https://books.google.com/books?hl=en&lr=lang_en&id=izg3AAAAMAAJ&oi=fnd&pg=PA1&dq=history&ots=qRD9T-77Wb&sig=MBe_DOCoAv8H2i3TLXzcHcjf7Y8,142
"Ideology, history, and the construction of"" woman"" in late ancient Christianity",EA Clark,1994,https://muse.jhu.edu/article/247332/summary,http://ww3.haverford.edu/religion/courses/221a/ClarkIdeology.pdf,142
History of the Huguenot emigration to America,CW Baird,1885,https://books.google.com/books?hl=en&lr=lang_en&id=7n3mpO1eRxgC&oi=fnd&pg=PA13&dq=history&ots=0fE6UOBPxg&sig=PoQmuKvOmvgbVyloumYCxirml0w,https://books.google.com/books?hl=en&lr=lang_en&id=7n3mpO1eRxgC&oi=fnd&pg=PA13&dq=history&ots=0fE6UOBPxg&sig=PoQmuKvOmvgbVyloumYCxirml0w,142
Narratives as cultural tools in sociocultural analysis: Official history in Soviet and Post‐Soviet Russia,JV Wertsch,2000,https://anthrosource.onlinelibrary.wiley.com/doi/abs/10.1525/eth.2000.28.4.511,,142
Are perceptions of a family history of heart disease related to health-related attitudes and behaviour?,"K Hunt, C Davison, C Emslie…",2000,https://academic.oup.com/her/article-abstract/15/2/131/550416,https://academic.oup.com/her/article/15/2/131/550416,142
"Provisioning and the study of free‐ranging primates: History, effects, and prospects",PJ Asquith,1989,https://onlinelibrary.wiley.com/doi/abs/10.1002/ajpa.1330320507,,142
"The history, epidemiology, and differential diagnosis of social anxiety disorder","CY Moutier, MB Stein",1999,https://www.psychiatrist.com/wp-content/uploads/2021/02/13892_history-epidemiology-differential-diagnosis-social.pdf,,142
"Grounds of dispute: Art history, cultural politics and the discursive field",J Tagg,1992,,,142
Whole-rock aminostratigraphy and Quaternary sea-level history of the Bahamas,"PJ Hearty, DS Kaufman",2000,https://www.cambridge.org/core/journals/quaternary-research/article/wholerock-aminostratigraphy-and-quaternary-sealevel-history-of-the-bahamas/BF07A75809C121286200D6377FB514E7,https://www.researchgate.net/profile/Paul-Hearty-2/publication/223624376_Whole-Rock_Aminostratigraphy_and_Quaternary_Sea-Level_History_of_the_Bahamas/links/5a69307ea6fdcccd01a19d18/Whole-Rock-Aminostratigraphy-and-Quaternary-Sea-Level-History-of-the-Bahamas.pdf,142
A geochemical method to trace the taphonomic history of reworked bones in sedimentary settings,"CN Trueman, MJ Benton",1997,https://pubs.geoscienceworld.org/gsa/geology/article-abstract/25/3/263/206617,http://benton.blogs.bristol.ac.uk/files/2019/07/1997Trueman.pdf,142
Holocene history of the Baltic Sea as recorded in a sediment core from the Gotland Deep,"G Sohlenius, J Sternbeck, E Andrén, P Westman",1996,https://www.sciencedirect.com/science/article/pii/0025322796000473,,142
The natural history of idiopathic hyperprolactinemia,"TL MARTIN, M KIM…",1985,https://academic.oup.com/jcem/article-abstract/60/5/855/2674869,,142
Hubble Space Telescope observations of planetary nebulae in the Magellanic clouds. V. Mass dependence of dredge-up and the chemical history of the large …,"MA Dopita, E Vassiliadis, PR Wood…",1997,https://iopscience.iop.org/article/10.1086/303444/meta,https://iopscience.iop.org/article/10.1086/303444/pdf,142
History and paleogeography during the Pan-African orogen to stable platform transition: reappraisal of the evidence from the Elat area and the northern …,Z Garfunkel,1999,,,142
History of Yugoslavia,"V Dedijer, I Božić, SM Ćirković, M Ekmečić",1974,,,142
History and anthropology,C Geertz,1990,https://www.jstor.org/stable/469255,,141
History of the Panjab Hill States,"J Hutchison, JP Vogel",1994,https://books.google.com/books?hl=en&lr=lang_en&id=3btDw4S2FmYC&oi=fnd&pg=PA1&dq=history&ots=RXNGB0xNz2&sig=5BW8ewQ6lbwxXgXEvQUJTcfzOkM,,141
Modernism's history: A study in twentieth-century art and ideas,B Smith,1998,,,141
Unexpected stories: Life history and the limits of representation,LJ Cary,1999,https://journals.sagepub.com/doi/abs/10.1177/107780049900500307,,141
The geologic history of diversity,PW Signor,1990,https://www.annualreviews.org/doi/pdf/10.1146/annurev.es.21.110190.002453,,141
Wedding cakes and cultural history,SR Charsley,1992,https://books.google.com/books?hl=en&lr=lang_en&id=qWPqkahVyqQC&oi=fnd&pg=PP1&dq=history&ots=XtRSKgZRqv&sig=cm-0HOYFs2RmDBQfYgY78NSrmWo,,141
A role for history and philosophy in science teaching,MR Matthews,1989,https://link.springer.com/article/10.1007/BF01807043,https://isidore.co/misc/Physics%20papers%20and%20books/Pedagogy/A%20role%20for%20HPS%20in%20science%20teaching%20(Matthews).pdf,141
A critical history of modern Irish drama 1891-1980,DES Maxwell,1984,https://books.google.com/books?hl=en&lr=lang_en&id=JKE5AAAAIAAJ&oi=fnd&pg=PR7&dq=history&ots=8LDrJ4bL4f&sig=lbUWnszM77ABc34SogyVPe3z6MY,,141
Tiananmen Square: a political history of monuments,W Hung,1991,https://online.ucpress.edu/representations/article-pdf/doi/10.2307/2928718/353986/2928718.pdf,http://lucian.uchicago.edu/blogs/wuhung/files/2012/12/Tiananmen-Square-A-Political-History-of-Monuments.pdf,141
Developmental history and neurological findings in enuretic children,MR Järvelin,1989,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8749.1989.tb04068.x,,141
Serbia's Secret War: Propaganda and the Deceit of History,PJ Cohen,1996,https://books.google.com/books?hl=en&lr=lang_en&id=Fz1PW_wnHYMC&oi=fnd&pg=PR11&dq=history&ots=qw4_cNz-Ao&sig=OQloXmcy4_estYIoXOsjr4BiRU0,,141
The early history of wheat: earliest traces to the sack of Rome,JR Harlan,1981,https://books.google.com/books?hl=en&lr=lang_en&id=HEQ9AAAAIAAJ&oi=fnd&pg=PA1&dq=history&ots=2Qz9_3jiu7&sig=FWIcDpClyNeVnvBYB8eli8kFQr8,,141
Bounty and benevolence: A documentary history of Saskatchewan treaties,"AJ Ray, JR Miller, J Miller, F Tough",2000,https://books.google.com/books?hl=en&lr=lang_en&id=GlRKcrHeT3gC&oi=fnd&pg=PR7&dq=history&ots=Sp1Y1Lr8NO&sig=8NRq-eQuAY2JCLzppQ41SF38UeQ,,141
The politics of crime and conflict: A comparative history of four cities,"TR Gurr, PN Grabosky, RC Hula, D Peirce",1977,https://www.ojp.gov/library/abstracts/politics-crime-and-conflict-comparative-history-four-cities,,141
"Pastoralism, patriarchy and history: Changing gender relations among Maasai in Tanganyika, 1890–1940",DL Hodgson,1999,https://www.cambridge.org/core/journals/journal-of-african-history/article/pastoralism-patriarchy-and-history-changing-gender-relations-among-maasai-in-tanganyika-18901940/C61A2873E1EA7A8E34BCE90D2E961759,,141
Directionality in the history of life: diffusion from the left wall or repeated scaling of the right?,"AH Knoll, RK Bambach",2000,https://www.cambridge.org/core/journals/paleobiology/article/directionality-in-the-history-of-life-diffusion-from-the-left-wall-or-repeated-scaling-of-the-right/CF23C3B75207A454422E31E8AC8E779E,,141
History of the use of colchicum and related medicaments in gout: with suggestions for further research,EF Hartung,1954,https://www.ncbi.nlm.nih.gov/pmc/articles/pmc1006735/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1006735/pdf/annrheumd00170-0008.pdf,141
Feelings of fatigue and psychopathology: a conceptual history,GE Berrios,1990,https://www.sciencedirect.com/science/article/pii/0010440X9090018N,,141
The natural history of hypertrophic cardiomyopathy in infants of diabetic mothers,"GL Way, RR Wolfe, E Eshaghpour, RL Bender…",1979,https://www.sciencedirect.com/science/article/pii/S0022347679803029,,141
"Natural history, clinical evolution, and the host-parasite interaction in New World cutaneous leishmaniasis","K Weigle, NG Saravia",1996,https://www.sciencedirect.com/science/article/pii/0738081X96000363,,141
Delirium and confusion in the 19th century: a conceptual history,GE Berrios,1981,https://www.cambridge.org/core/journals/the-british-journal-of-psychiatry/article/delirium-and-confusion-in-the-19th-century-a-conceptual-history/DF6396180AA2146DD1277A1213AC8040,,141
Lee Considered: General Robert E. Lee and Civil War History,AT Nolan,2000,https://books.google.com/books?hl=en&lr=lang_en&id=VdBFAwAAQBAJ&oi=fnd&pg=PP1&dq=history&ots=WNYWZKyW_C&sig=cJ82AI2L2mpX_RzFpOWSBHoe_Dg,,141
The natural history of painful diabetic neuropathy--a 4-year study.,"AJ Boulton, WD Armstrong, JH Scarpello…",1983,https://pmj.bmj.com/content/59/695/556.short,https://pmj.bmj.com/content/postgradmedj/59/695/556.full.pdf,141
Natural history of cervical neoplasia: overview and update,N Kiviat,1996,https://www.sciencedirect.com/science/article/pii/S000293789670011X,,141
Increased prevalence of thyroid antibodies in euthyroid women with a history of recurrent in-vitro fertilization failure,"S Bussen, T Steck, J Dietl",2000,https://academic.oup.com/humrep/article-abstract/15/3/545/2915318,https://academic.oup.com/humrep/article/15/3/545/2915318,141
Pleistocene history of the Nile valley in Egypt and lower Nubia,KW Butzer,1980,https://www.academia.edu/download/56171429/Butzer-1979-PleistoceneHistoryLowerNubia.pdf,https://www.academia.edu/download/56171429/Butzer-1979-PleistoceneHistoryLowerNubia.pdf,141
"Accretionary history of the Archean Barberton greenstone belt (3.55-3.22 Ga), southern Africa",DR Lowe,1994,https://pubs.geoscienceworld.org/gsa/geology/article-abstract/22/12/1099/188037,,141
The distribution and history in the British Isles of some alien species of Polygonum and Reynoutria,AP Conolly,1977,http://archive.bsbi.org.uk/Wats11p291.pdf,http://archive.bsbi.org.uk/Wats11p291.pdf,141
The history of Troy in Middle English literature: guido delle Colonne's Historia destructionis Troiae in Medieval England,CD Benson,1980,,,141
"The discovery and development of 2, 4-D",GE Peterson,1967,https://www.jstor.org/stable/3740338,,141
"Autonomia, its genesis and early history",M Ostwald,1982,,,141
Walter Benjamin and the demands of history,MP Steinberg,1996,https://books.google.com/books?hl=en&lr=lang_en&id=1rA8SUICSjoC&oi=fnd&pg=PA1&dq=history&ots=8WogRK5wjL&sig=vB8P5rQawY2fxDvGZKEioADsn04,,140
Masterpieces of Greek sculpture: a series of essays on the history of art,A Furtwängler,1895,https://books.google.com/books?hl=en&lr=lang_en&id=xskEAAAAYAAJ&oi=fnd&pg=PR19&dq=history&ots=wYLqIDRa9y&sig=ltjvK0RtW8UPgbdNRnFZ4BqzDlA,https://books.google.com/books?hl=en&lr=lang_en&id=xskEAAAAYAAJ&oi=fnd&pg=PR19&dq=history&ots=wYLqIDRa9y&sig=ltjvK0RtW8UPgbdNRnFZ4BqzDlA,140
Reflections on the Pertinence of a Theory of the History of Exchange,"G Dupré, PP Rey",1973,https://www.tandfonline.com/doi/pdf/10.1080/03085147300000007,,140
Revisions in Economic History: IX.--The Fifteenth Century,M Postan,1939,https://www.jstor.org/stable/2590221,,140
Essays in Labour History 1886–1923,"A Briggs, J Saville",1971,https://books.google.com/books?hl=en&lr=lang_en&id=M-mvCwAAQBAJ&oi=fnd&pg=PR7&dq=history&ots=ieMsEun4xb&sig=G-2kqOqmwlmqB_wmz9V-CCNj5v4,,140
Getting the words right: Perspectives on naming and places in Athapaskan oral history,J Cruikshank,1990,https://www.jstor.org/stable/40316196,,140
The theory and history of ocean boundary-making,DM Johnston,1988,https://books.google.com/books?hl=en&lr=lang_en&id=dWib1_L4nv0C&oi=fnd&pg=PR7&dq=history&ots=uFAg4EKRK1&sig=I0b27HmyhyUV-6eC_lkxCGVngfM,,140
"The AETFAT chorological classification of Africa: history, methods and applications",F White,1993,https://www.jstor.org/stable/3668279,,140
America's sheep trails. History-personalities.,EN Wentworth,1948,https://www.cabdirect.org/cabdirect/abstract/19490100358,,140
"Culture, history, and sex: Anthropological contributions to conceptualizing father involvement",BS Hewlett,2000,https://www.tandfonline.com/doi/abs/10.1300/J002v29n02_05,,140
Graben formation—the Maltese Islands—a case history,JH Illies,1981,https://www.sciencedirect.com/science/article/pii/B9780444419569500186,,140
"Buddhist cosmography in Thai history, with special reference to nineteenth-century culture change",CJ Reynolds,1976,https://www.cambridge.org/core/journals/journal-of-asian-studies/article/buddhist-cosmography-in-thai-history-with-special-reference-to-nineteenthcentury-culture-change/3FA7F315A2C04B570A259A2E4E2BF634,,140
"Dr. Woodward's shield: history, science, and satire in Augustan England",JM Levine,1991,https://books.google.com/books?hl=en&lr=lang_en&id=lIUgiCOategC&oi=fnd&pg=PR7&dq=history&ots=oluNc5S4Ee&sig=WYlDGZJt3iDOTqoig7qv0NxSkCo,,140
Coevolution: a history of the macroevolutionary approach to studying host-parasite associations,GJ Klassen,1992,https://www.jstor.org/stable/3283532,,140
